Date,"Close Price"
"2017-12-12 00:00:00",16699.68
"2017-12-12 00:01:00",16707.33
"2017-12-12 00:02:00",16713.02
"2017-12-12 00:03:00",16688.92
"2017-12-12 00:04:00",16626.34
"2017-12-12 00:05:00",16604.79
"2017-12-12 00:06:00",16592.91
"2017-12-12 00:07:00",16614.79
"2017-12-12 00:08:00",16600.78
"2017-12-12 00:09:00",16599.22
"2017-12-12 00:10:00",16581
"2017-12-12 00:11:00",16594.1
"2017-12-12 00:12:00",16610.52
"2017-12-12 00:13:00",16604.94
"2017-12-12 00:14:00",16591.75
"2017-12-12 00:15:00",16608.86
"2017-12-12 00:16:00",16608.74
"2017-12-12 00:17:00",16583.6
"2017-12-12 00:18:00",16583.54
"2017-12-12 00:19:00",16537.39
"2017-12-12 00:20:00",16538.74
"2017-12-12 00:21:00",16549.16
"2017-12-12 00:22:00",16555.23
"2017-12-12 00:23:00",16556.01
"2017-12-12 00:24:00",16553.38
"2017-12-12 00:25:00",16585.33
"2017-12-12 00:26:00",16605.02
"2017-12-12 00:27:00",16578.15
"2017-12-12 00:28:00",16593.27
"2017-12-12 00:29:00",16604.75
"2017-12-12 00:30:00",16624.71
"2017-12-12 00:31:00",16632.95
"2017-12-12 00:32:00",16665.1
"2017-12-12 00:33:00",16705.44
"2017-12-12 00:34:00",16712.14
"2017-12-12 00:35:00",16719.45
"2017-12-12 00:36:00",16731.32
"2017-12-12 00:37:00",16671.4
"2017-12-12 00:38:00",16671.96
"2017-12-12 00:39:00",16688.73
"2017-12-12 00:40:00",16673.03
"2017-12-12 00:41:00",16681.98
"2017-12-12 00:42:00",16677.9
"2017-12-12 00:43:00",16678.97
"2017-12-12 00:44:00",16681.11
"2017-12-12 00:45:00",16678.37
"2017-12-12 00:46:00",16704.01
"2017-12-12 00:47:00",16729.47
"2017-12-12 00:48:00",16733.39
"2017-12-12 00:49:00",16748.78
"2017-12-12 00:50:00",16748.67
"2017-12-12 00:51:00",16734.68
"2017-12-12 00:52:00",16742.87
"2017-12-12 00:53:00",16738.65
"2017-12-12 00:54:00",16712.66
